room_no,date,time_slot,booked_by,capacity,occupancy,utilization_pct
Seminar 1,2026-07-05,14:00,Course 332,60,46,76.7
Lab 1,2026-07-10,12:00,Course 447,30,19,63.3
Room 101,2026-07-23,14:00,Course 119,40,29,72.5
Conference 1,2026-07-09,12:00,Course 178,30,16,53.3
Lab 2,2026-07-09,14:00,Course 348,100,1,1.0
Auditorium A,2026-07-01,10:00,Course 142,40,28,70.0
Auditorium A,2026-07-04,10:00,Course 499,200,110,55.0
Conference 1,2026-07-19,14:00,Course 403,100,65,65.0
Lab 1,2026-07-21,10:00,Course 222,100,84,84.0
Lab 1,2026-07-19,10:00,Course 242,200,85,42.5
Room 101,2026-07-10,12:00,Course 298,100,5,5.0
Room 101,2026-07-14,12:00,Course 224,30,6,20.0
Lab 1,2026-07-27,14:00,Course 498,60,47,78.3
Room 204,2026-07-23,14:00,Course 405,60,38,63.3
Seminar 1,2026-07-26,08:00,Course 212,30,4,13.3
Room 101,2026-07-15,12:00,Course 387,40,22,55.0
Room 204,2026-07-20,08:00,Course 323,200,103,51.5
Room 204,2026-07-08,14:00,Course 284,40,10,25.0
Auditorium A,2026-07-27,10:00,Course 395,60,55,91.7
Room 204,2026-07-28,12:00,Course 331,60,5,8.3
Conference 1,2026-07-08,14:00,Course 182,30,15,50.0
Lab 2,2026-07-17,12:00,Course 151,200,51,25.5
Room 101,2026-07-16,12:00,Course 231,200,51,25.5
Room 204,2026-07-05,08:00,Course 277,200,36,18.0
Seminar 1,2026-07-07,08:00,Course 148,60,37,61.7
Lab 2,2026-07-18,10:00,Course 425,200,148,74.0
Lab 2,2026-07-14,12:00,Course 490,40,10,25.0
Lab 1,2026-07-13,08:00,Course 267,40,20,50.0
Room 101,2026-07-27,14:00,Course 216,40,36,90.0
Seminar 1,2026-07-06,08:00,Course 106,60,36,60.0
Room 204,2026-07-12,08:00,Course 481,100,72,72.0
Lab 1,2026-07-14,10:00,Course 186,40,26,65.0
Auditorium A,2026-07-22,10:00,Course 290,40,16,40.0
Seminar 1,2026-07-18,08:00,Course 308,60,14,23.3
Lab 1,2026-07-13,12:00,Course 124,200,140,70.0
Room 204,2026-07-18,08:00,Course 162,60,24,40.0
Conference 1,2026-07-28,10:00,Course 480,40,14,35.0
Lab 1,2026-07-20,12:00,Course 305,100,9,9.0
Room 204,2026-07-18,10:00,Course 428,200,99,49.5
Seminar 1,2026-07-26,14:00,Course 362,30,26,86.7
Lab 2,2026-07-07,12:00,Course 129,100,61,61.0
Room 101,2026-07-02,12:00,Course 453,100,65,65.0
Room 101,2026-07-02,08:00,Course 272,60,17,28.3
Room 204,2026-07-11,14:00,Course 450,200,185,92.5
Conference 1,2026-07-25,08:00,Course 382,30,4,13.3
Conference 1,2026-07-02,12:00,Course 444,200,134,67.0
Lab 1,2026-07-26,10:00,Course 299,200,30,15.0
Room 101,2026-07-24,08:00,Course 118,200,15,7.5
Room 101,2026-07-05,08:00,Course 163,60,5,8.3
Room 204,2026-07-24,08:00,Course 255,100,8,8.0
Auditorium A,2026-07-15,12:00,Course 352,60,29,48.3
Conference 1,2026-07-03,12:00,Course 167,100,85,85.0
Room 101,2026-07-11,08:00,Course 442,200,114,57.0
Auditorium A,2026-07-02,10:00,Course 420,30,9,30.0
Conference 1,2026-07-14,10:00,Course 107,200,194,97.0
Auditorium A,2026-07-11,14:00,Course 387,60,14,23.3
Auditorium A,2026-07-14,12:00,Course 309,200,98,49.0
Room 101,2026-07-28,14:00,Course 390,40,35,87.5
Seminar 1,2026-07-18,08:00,Course 413,40,40,100.0
Lab 1,2026-07-13,10:00,Course 416,30,18,60.0
Lab 1,2026-07-16,14:00,Course 345,40,35,87.5
Room 101,2026-07-24,12:00,Course 113,40,25,62.5
Seminar 1,2026-07-20,08:00,Course 382,200,48,24.0
Conference 1,2026-07-28,12:00,Course 195,100,40,40.0
Auditorium A,2026-07-05,10:00,Course 318,30,13,43.3
Room 204,2026-07-12,08:00,Course 192,40,7,17.5
Room 204,2026-07-07,12:00,Course 494,40,26,65.0
Conference 1,2026-07-03,12:00,Course 238,200,29,14.5
Auditorium A,2026-07-06,14:00,Course 305,40,38,95.0
Auditorium A,2026-07-03,12:00,Course 377,40,23,57.5
Room 204,2026-07-01,14:00,Course 354,30,25,83.3
Seminar 1,2026-07-10,12:00,Course 181,40,17,42.5
Auditorium A,2026-07-01,10:00,Course 312,100,17,17.0
Lab 1,2026-07-16,14:00,Course 437,30,25,83.3
Lab 2,2026-07-13,10:00,Course 117,30,16,53.3
Conference 1,2026-07-10,10:00,Course 222,60,54,90.0
Room 204,2026-07-17,08:00,Course 465,100,67,67.0
Seminar 1,2026-07-07,10:00,Course 171,100,13,13.0
Conference 1,2026-07-19,10:00,Course 353,100,19,19.0
Lab 2,2026-07-20,12:00,Course 140,40,34,85.0
Auditorium A,2026-07-17,12:00,Course 471,30,2,6.7
Conference 1,2026-07-24,14:00,Course 141,100,96,96.0
Seminar 1,2026-07-18,14:00,Course 331,100,27,27.0
Lab 2,2026-07-11,12:00,Course 415,40,30,75.0
Lab 2,2026-07-01,14:00,Course 478,40,24,60.0
Lab 1,2026-07-03,12:00,Course 450,60,10,16.7
Conference 1,2026-07-20,14:00,Course 480,200,162,81.0
Seminar 1,2026-07-08,10:00,Course 457,30,26,86.7
Lab 2,2026-07-15,12:00,Course 113,200,74,37.0
Conference 1,2026-07-06,10:00,Course 317,30,5,16.7
Seminar 1,2026-07-12,08:00,Course 335,40,26,65.0
Seminar 1,2026-07-08,12:00,Course 407,100,72,72.0
Seminar 1,2026-07-17,12:00,Course 355,100,44,44.0
Seminar 1,2026-07-09,14:00,Course 481,40,13,32.5
Conference 1,2026-07-19,10:00,Course 365,60,32,53.3
Seminar 1,2026-07-28,08:00,Course 372,100,37,37.0
Seminar 1,2026-07-25,14:00,Course 317,30,27,90.0
Lab 2,2026-07-25,12:00,Course 233,40,26,65.0
Room 204,2026-07-06,12:00,Course 436,40,16,40.0
Lab 1,2026-07-06,14:00,Course 138,100,66,66.0
Seminar 1,2026-07-25,08:00,Course 148,40,15,37.5
Lab 2,2026-07-08,08:00,Course 375,60,3,5.0
Room 204,2026-07-10,12:00,Course 470,30,11,36.7
Conference 1,2026-07-25,12:00,Course 350,200,18,9.0
Auditorium A,2026-07-26,08:00,Course 206,60,38,63.3
Lab 2,2026-07-03,10:00,Course 332,60,37,61.7
Auditorium A,2026-07-12,12:00,Course 121,60,14,23.3
Lab 2,2026-07-03,08:00,Course 460,200,0,0.0
Room 204,2026-07-02,10:00,Course 236,100,89,89.0
Room 101,2026-07-15,14:00,Course 169,200,14,7.0
Auditorium A,2026-07-04,14:00,Course 423,200,46,23.0
Lab 1,2026-07-08,08:00,Course 163,200,51,25.5
Lab 2,2026-07-04,10:00,Course 107,200,2,1.0
Conference 1,2026-07-24,12:00,Course 224,30,9,30.0
Lab 1,2026-07-04,08:00,Course 331,40,33,82.5
Seminar 1,2026-07-13,14:00,Course 491,30,13,43.3
Lab 2,2026-07-15,12:00,Course 141,30,20,66.7
Auditorium A,2026-07-06,10:00,Course 281,60,57,95.0
Conference 1,2026-07-03,14:00,Course 147,40,23,57.5
Room 204,2026-07-01,08:00,Course 113,60,39,65.0
Lab 2,2026-07-22,12:00,Course 188,60,38,63.3
Seminar 1,2026-07-17,10:00,Course 455,40,14,35.0
Room 101,2026-07-04,12:00,Course 187,40,7,17.5
Room 101,2026-07-21,14:00,Course 456,30,5,16.7
Room 101,2026-07-02,14:00,Course 219,30,3,10.0
Lab 1,2026-07-21,08:00,Course 430,40,17,42.5
Conference 1,2026-07-27,14:00,Course 142,100,88,88.0
Room 204,2026-07-13,08:00,Course 176,100,24,24.0
Lab 1,2026-07-11,14:00,Course 284,40,6,15.0
Lab 1,2026-07-24,12:00,Course 367,40,13,32.5
Room 101,2026-07-06,12:00,Course 380,40,11,27.5
Conference 1,2026-07-06,14:00,Course 350,30,10,33.3
Lab 1,2026-07-08,08:00,Course 353,100,81,81.0
Room 101,2026-07-27,10:00,Course 313,60,28,46.7
Seminar 1,2026-07-15,12:00,Course 391,60,30,50.0
Auditorium A,2026-07-17,12:00,Course 291,60,22,36.7
Room 101,2026-07-08,10:00,Course 238,30,8,26.7
Lab 2,2026-07-07,08:00,Course 208,60,5,8.3
Seminar 1,2026-07-22,12:00,Course 137,200,118,59.0
Conference 1,2026-07-21,14:00,Course 255,200,178,89.0
Seminar 1,2026-07-06,14:00,Course 321,30,25,83.3
Conference 1,2026-07-09,10:00,Course 261,60,28,46.7
Room 101,2026-07-04,14:00,Course 468,40,11,27.5
Seminar 1,2026-07-15,12:00,Course 179,100,27,27.0
