roll_no,name,branch,cgpa,technical_score,communication_score,internship_experience,readiness_index
CS2000,Student 1,Electrical,6.8,32.4,46.8,0,40.6
CS2001,Student 2,Computer Science,9.9,95.3,57.8,2,77.3
CS2002,Student 3,Civil,8.5,83.0,68.2,2,72.7
CS2003,Student 4,Computer Science,8.6,31.9,81.4,3,57.4
CS2004,Student 5,Computer Science,5.4,88.8,73.6,0,68.4
CS2005,Student 6,Civil,9.7,56.8,58.4,2,61.6
CS2006,Student 7,Mechanical,9.7,79.1,57.7,2,70.4
CS2007,Student 8,Mechanical,5.2,64.8,65.0,2,57.8
CS2008,Student 9,Electrical,7.6,77.6,52.3,1,62.9
CS2009,Student 10,Electrical,9.3,90.7,36.6,2,67.9
CS2010,Student 11,Civil,7.3,90.4,89.5,1,78.6
CS2011,Student 12,Electrical,8.7,31.1,40.1,1,42.9
CS2012,Student 13,Mechanical,8.7,31.6,64.5,1,50.4
CS2013,Student 14,Electrical,6.7,72.1,82.6,3,70.0
CS2014,Student 15,Computer Science,7.0,91.3,70.5,1,72.7
CS2015,Student 16,Mechanical,6.9,71.7,84.5,0,67.8
CS2016,Student 17,Electrical,6.1,36.2,41.2,2,41.0
CS2017,Student 18,Computer Science,9.9,77.7,70.2,2,73.9
CS2018,Student 19,Computer Science,8.0,80.5,92.9,0,76.1
CS2019,Student 20,Mechanical,8.2,64.2,83.7,2,69.2
CS2020,Student 21,Computer Science,9.1,98.2,71.5,2,80.9
CS2021,Student 22,Electrical,9.0,53.8,33.8,1,50.7
CS2022,Student 23,Civil,6.3,35.3,53.7,1,43.8
CS2023,Student 24,Electrical,7.6,82.2,71.4,2,71.5
CS2024,Student 25,Electrical,9.5,46.0,53.3,2,55.4
CS2025,Student 26,Computer Science,9.8,55.3,74.5,1,65.1
CS2026,Student 27,Computer Science,6.1,30.8,73.2,1,47.5
CS2027,Student 28,Computer Science,8.6,86.8,78.6,2,77.5
CS2028,Student 29,Computer Science,7.8,51.7,50.3,3,54.4
CS2029,Student 30,Mechanical,7.9,80.2,37.2,2,61.0
CS2030,Student 31,Mechanical,5.5,45.5,70.9,0,50.5
CS2031,Student 32,Mechanical,5.6,75.9,43.8,0,54.7
CS2032,Student 33,Computer Science,8.5,92.8,44.2,3,70.4
CS2033,Student 34,Mechanical,5.2,37.7,61.8,0,44.0
CS2034,Student 35,Electrical,9.7,80.2,56.9,1,69.6
CS2035,Student 36,Civil,8.9,60.0,70.8,2,65.0
CS2036,Student 37,Mechanical,8.9,58.3,43.8,2,56.3
CS2037,Student 38,Electrical,6.8,84.0,71.8,2,70.7
CS2038,Student 39,Mechanical,7.2,82.2,49.1,2,64.0
CS2039,Student 40,Mechanical,7.4,59.8,80.7,3,65.9
CS2040,Student 41,Civil,8.7,99.6,82.2,0,81.9
CS2041,Student 42,Electrical,5.4,35.3,30.4,2,36.0
CS2042,Student 43,Mechanical,8.2,63.1,73.6,2,65.7
CS2043,Student 44,Civil,7.5,83.3,99.8,2,80.3
CS2044,Student 45,Electrical,6.7,35.9,77.1,1,51.9
CS2045,Student 46,Electrical,5.4,65.0,38.9,1,49.5
CS2046,Student 47,Civil,7.0,90.6,30.4,0,59.4
CS2047,Student 48,Mechanical,9.1,60.6,99.0,3,75.1
CS2048,Student 49,Mechanical,9.1,50.8,50.6,3,56.7
CS2049,Student 50,Mechanical,9.2,53.5,46.7,1,54.8
CS2050,Student 51,Mechanical,6.1,62.9,50.0,2,54.4
CS2051,Student 52,Computer Science,9.1,75.3,43.4,1,62.3
CS2052,Student 53,Civil,5.4,69.4,42.0,3,54.2
CS2053,Student 54,Mechanical,6.2,47.2,64.4,2,52.6
CS2054,Student 55,Computer Science,9.5,94.1,67.1,1,77.8
CS2055,Student 56,Computer Science,9.8,36.9,70.8,2,57.6
CS2056,Student 57,Electrical,6.2,61.5,60.1,2,57.0
CS2057,Student 58,Mechanical,5.8,31.3,34.0,1,35.3
CS2058,Student 59,Computer Science,8.5,69.3,95.1,0,73.2
CS2059,Student 60,Computer Science,7.4,39.8,52.6,3,49.5
CS2060,Student 61,Civil,5.3,39.9,37.8,3,40.9
