roll_no,name,course,semester,attendance_pct,avg_marks,lms_engagement_score,risk_score
CS2000,Student 1,Electrical,6,60.8,30.1,69.3,49.8
CS2001,Student 2,Civil,5,97.6,72.7,69.8,17.9
CS2002,Student 3,Computer Science,6,75.2,91.3,49.4,23.5
CS2003,Student 4,Electrical,5,61.2,33.7,23.2,57.4
CS2004,Student 5,Computer Science,3,72.3,78.2,16.9,36.4
CS2005,Student 6,Civil,6,37.5,50.6,15.0,61.8
CS2006,Student 7,Computer Science,6,49.8,25.3,17.9,66.4
CS2007,Student 8,Mechanical,5,67.1,79.9,76.7,25.9
CS2008,Student 9,Mechanical,3,40.2,34.1,29.0,64.5
CS2009,Student 10,Civil,3,98.8,54.1,19.9,34.9
CS2010,Student 11,Computer Science,3,49.9,25.9,38.4,62.0
CS2011,Student 12,Civil,3,40.2,59.3,66.8,46.8
CS2012,Student 13,Civil,5,69.6,68.9,95.3,25.5
CS2013,Student 14,Computer Science,6,76.8,72.1,38.1,32.8
CS2014,Student 15,Civil,6,60.2,58.4,39.2,44.7
CS2015,Student 16,Electrical,6,48.5,33.1,59.2,55.5
CS2016,Student 17,Electrical,3,89.0,98.6,60.4,12.9
CS2017,Student 18,Mechanical,6,62.9,81.2,60.3,30.3
CS2018,Student 19,Mechanical,6,38.8,93.4,90.7,29.0
CS2019,Student 20,Civil,6,87.6,54.9,11.6,40.7
CS2020,Student 21,Mechanical,6,66.9,51.3,42.5,44.2
CS2021,Student 22,Mechanical,4,99.5,55.2,66.5,24.8
CS2022,Student 23,Mechanical,4,58.7,38.7,94.6,42.1
CS2023,Student 24,Mechanical,3,86.5,61.8,24.8,35.7
CS2024,Student 25,Electrical,4,48.1,77.1,57.7,38.4
CS2025,Student 26,Mechanical,6,49.9,28.2,58.8,57.0
CS2026,Student 27,Electrical,3,50.4,99.0,69.2,26.4
CS2027,Student 28,Civil,3,64.3,86.7,52.4,29.1
CS2028,Student 29,Computer Science,5,35.1,99.3,18.2,42.6
CS2029,Student 30,Computer Science,4,30.3,91.1,22.3,47.0
CS2030,Student 31,Civil,5,94.7,34.7,34.6,41.3
CS2031,Student 32,Civil,6,47.5,58.1,24.1,52.9
CS2032,Student 33,Electrical,4,52.5,88.8,93.1,24.9
CS2033,Student 34,Electrical,5,56.2,58.2,65.8,41.1
CS2034,Student 35,Electrical,5,69.7,59.9,2.4,47.7
CS2035,Student 36,Civil,3,44.5,23.6,12.1,70.3
CS2036,Student 37,Civil,5,81.8,72.5,22.1,33.9
CS2037,Student 38,Electrical,4,64.7,24.6,5.7,63.1
CS2038,Student 39,Mechanical,3,32.7,67.0,23.2,55.5
CS2039,Student 40,Mechanical,6,42.7,49.4,14.1,60.3
CS2040,Student 41,Civil,5,63.5,39.4,2.4,58.4
CS2041,Student 42,Mechanical,6,72.3,69.1,80.8,27.3
CS2042,Student 43,Computer Science,5,39.4,58.0,9.0,59.2
CS2043,Student 44,Computer Science,3,91.4,20.0,94.6,36.5
CS2044,Student 45,Computer Science,6,74.0,39.4,29.5,48.7
CS2045,Student 46,Civil,5,59.3,52.5,44.4,46.4
CS2046,Student 47,Civil,5,43.5,77.0,26.0,46.6
CS2047,Student 48,Computer Science,6,39.7,42.5,13.5,64.4
CS2048,Student 49,Electrical,5,54.1,22.6,59.8,57.4
CS2049,Student 50,Computer Science,4,79.2,71.7,55.5,28.5
CS2050,Student 51,Civil,4,80.1,39.7,86.6,34.8
CS2051,Student 52,Computer Science,3,79.9,66.9,25.3,36.2
CS2052,Student 53,Civil,5,81.5,31.0,67.6,41.5
CS2053,Student 54,Mechanical,5,86.1,74.1,15.2,32.9
CS2054,Student 55,Civil,4,43.3,90.1,75.1,31.6
CS2055,Student 56,Computer Science,6,41.3,64.1,6.1,56.6
CS2056,Student 57,Civil,6,44.2,49.5,65.6,49.4
CS2057,Student 58,Electrical,3,65.4,29.5,89.8,44.1
CS2058,Student 59,Mechanical,5,85.4,77.4,38.6,27.2
CS2059,Student 60,Computer Science,4,99.0,48.9,95.5,21.7
CS2060,Student 61,Mechanical,4,87.9,80.2,15.5,29.7
CS2061,Student 62,Computer Science,4,68.8,56.0,63.6,37.4
CS2062,Student 63,Mechanical,6,41.2,35.7,94.9,50.3
CS2063,Student 64,Electrical,4,72.2,20.8,60.9,50.6
CS2064,Student 65,Electrical,4,31.7,85.4,79.9,37.2
CS2065,Student 66,Electrical,5,33.9,20.6,31.8,71.8
CS2066,Student 67,Computer Science,3,74.5,81.9,72.0,23.0
CS2067,Student 68,Electrical,6,67.4,67.0,96.5,26.9
CS2068,Student 69,Mechanical,6,62.5,28.9,92.1,45.0
CS2069,Student 70,Computer Science,4,78.7,67.1,14.1,38.9
CS2070,Student 71,Civil,6,77.6,84.3,79.0,19.4
CS2071,Student 72,Civil,6,70.7,99.3,82.7,15.5
CS2072,Student 73,Mechanical,5,48.0,60.4,46.0,47.4
CS2073,Student 74,Civil,5,85.3,28.1,93.5,35.9
CS2074,Student 75,Computer Science,6,49.5,97.9,76.3,25.8
CS2075,Student 76,Computer Science,3,44.4,96.3,93.3,25.1
CS2076,Student 77,Computer Science,5,43.5,27.2,97.8,52.2
CS2077,Student 78,Computer Science,3,48.2,64.0,17.9,51.5
CS2078,Student 79,Computer Science,5,74.8,41.9,44.0,44.5
CS2079,Student 80,Civil,6,68.6,39.9,14.9,53.6
CS2080,Student 81,Mechanical,4,81.9,85.0,84.4,16.4
CS2081,Student 82,Mechanical,5,90.6,75.1,37.3,26.3
CS2082,Student 83,Electrical,5,95.3,89.0,67.3,12.8
CS2083,Student 84,Civil,4,41.0,95.1,90.5,27.5
CS2084,Student 85,Computer Science,6,53.1,36.1,5.6,63.2
CS2085,Student 86,Computer Science,4,42.0,94.1,44.4,36.7
CS2086,Student 87,Civil,4,74.5,32.6,43.3,48.5
CS2087,Student 88,Electrical,4,51.8,22.7,73.1,55.6
CS2088,Student 89,Civil,3,95.8,98.3,75.4,7.3
CS2089,Student 90,Computer Science,3,71.6,37.7,85.1,39.3
CS2090,Student 91,Civil,3,65.8,31.3,39.4,53.3
CS2091,Student 92,Mechanical,4,76.1,91.9,1.2,32.6
CS2092,Student 93,Mechanical,3,91.3,97.6,75.8,9.3
CS2093,Student 94,Electrical,3,70.8,52.8,66.8,37.2
CS2094,Student 95,Computer Science,4,91.5,67.7,34.3,29.5
CS2095,Student 96,Electrical,5,86.9,58.3,25.0,36.9
CS2096,Student 97,Mechanical,3,35.9,69.6,17.5,54.3
CS2097,Student 98,Mechanical,4,49.2,28.8,31.4,62.5
CS2098,Student 99,Computer Science,4,36.3,26.6,69.4,61.0
CS2099,Student 100,Computer Science,4,53.9,30.6,83.0,49.6
